136: kind=case_clause, named=true, hidden=false, visible=true
137: kind=for_statement, named=true, hidden=false, visible=true
138: kind=while_statement, named=true, hidden=false, visible=true
139: kind=try_statement, named=true, hidden=false, visible=true
140: kind=except_clause, named=true, hidden=false, visible=true
141: kind=except_group_clause, named=true, hidden=false, visible=true
142: kind=finally_clause, named=true, hidden=false, visible=true
143: kind=with_statement, named=true, hidden=false, visible=true
144: kind=with_clause, named=true, hidden=false, visible=true
145: kind=with_item, named=true, hidden=false, visible=true
146: kind=function_definition, named=true, hidden=false, visible=true
147: kind=parameters, named=true, hidden=false, visible=true
148: kind=lambda_parameters, named=true, hidden=false, visible=true
149: kind=list_splat, named=true, hidden=false, visible=true
150: kind=dictionary_splat, named=true, hidden=false, visible=true
151: kind=global_statement, named=true, hidden=false, visible=true
152: kind=nonlocal_statement, named=true, hidden=false, visible=true
153: kind=exec_statement, named=true, hidden=false, visible=true
154: kind=type_alias_statement, named=true, hidden=false, visible=true
155: kind=class_definition, named=true, hidden=false, visible=true
156: kind=type_parameter, named=true, hidden=false, visible=true
157: kind=parenthesized_list_splat, named=true, hidden=false, visible=true
158: kind=argument_list, named=true, hidden=false, visible=true
159: kind=decorated_definition, named=true, hidden=false, visible=true
160: kind=decorator, named=true, hidden=false, visible=true
161: kind=block, named=true, hidden=false, visible=true
162: kind=expression_list, named=true, hidden=false, visible=true
163: kind=dotted_name, named=true, hidden=false, visible=true
164: kind=case_pattern, named=true, hidden=false, visible=true
165: kind=_simple_pattern, named=false, hidden=true, visible=false
166: kind=as_pattern, named=true, hidden=false, visible=true
167: kind=union_pattern, named=true, hidden=false, visible=true
168: kind=list_pattern, named=true, hidden=false, visible=true
169: kind=tuple_pattern, named=true, hidden=false, visible=true
170: kind=dict_pattern, named=true, hidden=false, visible=true
171: kind=_key_value_pattern, named=false, hidden=true, visible=false
172: kind=keyword_pattern, named=true, hidden=false, visible=true
173: kind=splat_pattern, named=true, hidden=false, visible=true
174: kind=class_pattern, named=true, hidden=false, visible=true
175: kind=complex_pattern, named=true, hidden=false, visible=true
176: kind=_parameters, named=false, hidden=true, visible=false
177: kind=_patterns, named=false, hidden=true, visible=false
178: kind=parameter, named=false, hidden=false, visible=false
179: kind=pattern, named=false, hidden=false, visible=false
180: kind=tuple_pattern, named=true, hidden=false, visible=true
181: kind=list_pattern, named=true, hidden=false, visible=true
182: kind=default_parameter, named=true, hidden=false, visible=true
183: kind=typed_default_parameter, named=true, hidden=false, visible=true
184: kind=list_splat_pattern, named=true, hidden=false, visible=true
